Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
FBXO16	-6.2065019	-2.28086333	-3.56526103	Autosome	Autosome
FBXO17	-6.14677334	-1.9937801	-3.96917887	Autosome	Autosome
FBXO18	-1.61541775	-0.92448871	-1.28484276	Autosome	Autosome
FBXO2	-6.02611373	-1.48944408	-2.07575096	Autosome	Autosome
FBXO21	-1.35858976	-0.28218729	-0.84959324	Autosome	Autosome
FBXO22	-1.35858224	-0.09999958	-0.61870622	Autosome	Autosome
FBXO24	-5.5376434	-1.4194915	-1.99626347	Autosome	Autosome
FBXO25	-1.80938777	-0.57252062	-1.21733788	Autosome	Autosome
FBXO27	-6.10299737	-2.12355386	-3.67324572	Autosome	Autosome
FBXO28	-1.27372096	-0.09003345	-0.61792712	Autosome	Autosome
FBXO3	-1.43292604	-0.45077882	-0.97119946	Autosome	Autosome
FBXO30	-1.65653275	-0.6988621	-1.2207388	Autosome	Autosome
FBXO31	-1.69358963	-0.55027336	-1.17532308	Autosome	Autosome
FBXO32	-1.23186573	-0.08611373	-0.58651468	Autosome	Autosome
FBXO33	-1.20667846	-0.08618282	-0.55698678	Autosome	Autosome
FBXO34	-1.81840719	-0.76073655	-1.31090493	Autosome	Autosome
FBXO36	-6.17610763	-2.00791904	-3.61339483	Autosome	Autosome
FBXO38	-1.38972494	-0.64841508	-1.02619292	Autosome	Autosome
FBXO39	-2.52274886	-0.44415966	-1.34031788	Autosome	Autosome
FBXO4	-6.08390696	-1.78159458	-2.66529037	Autosome	Autosome
FBXO40	-6.17429561	-2.23369601	-3.82682216	Autosome	Autosome
FBXO41	-1.39622161	-0.29270504	-0.87062713	Autosome	Autosome
FBXO42	-2.28974224	-1.24527273	-1.63631563	Autosome	Autosome
FBXO43	-5.77198362	-1.39662537	-1.96946055	Autosome	Autosome
FBXO44	-6.07280367	-1.77141389	-2.80153329	Autosome	Autosome
FBXO45	-1.57271204	-0.08691994	-0.71999658	Autosome	Autosome
FBXO46	-1.29142828	-0.25358843	-0.56318286	Autosome	Autosome
FBXO47	-3.59224142	-0.94886007	-1.60131668	Autosome	Autosome
FBXO48	-6.13433963	-1.58367606	-2.49352882	Autosome	Autosome
FBXO5	-1.87748317	-0.77599608	-1.34689542	Autosome	Autosome
FBXO6	-5.89667698	-1.24955328	-1.85092982	Autosome	Autosome
FBXO7	-5.72588377	-1.53058517	-2.10889305	Autosome	Autosome
